SL,Smiles,Ratio_1,Ratio_2,Er,Tg
43,"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=CC(=O)OCCCC']",0.6,0.4,2.3521438,38.27086
44,"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O']",0.1,0.9,321.39795,247.6739
45,"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=CCOC(CC)(CO)CO']",0.1,0.9,5.503209,24.054085
46,"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=CCOCC(CO)(COCC=C)COCC=C']",0.1,0.9,4.1652374,27.978447
47,"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=CCOCC(COCC=C)(COCC=C)COC(=O)NCC1(C)CC(NC(=O)OCC(COCC=C)(COCC=C)COCC=C)CC(C)(C)C1']",0.1,0.9,18.678411,58.892895
48,"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=CCc1ccccc1OCC(O)COC(=O)CCCCC(=O)OCC(O)COc2ccccc2CC=C']",0.1,0.9,23.737955,57.95134
49,"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=CCc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3']",0.2,0.8,69.11737,118.83583
50,"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O']",0.4,0.6,9.084534,41.041954
51,"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=COC(=O)CCCCCC(C)(C)C']",0.1,0.9,4.11033,91.84833
52,"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=Cc1cccc(C=C)c1']",0.6,0.4,3.3849442,45.047886
53,"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O']",0.1,0.9,26.530357,138.16367
54,"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS']",0.3,0.7,39.405083,50.834526
55,"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'CCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS']",0.1,0.9,16.18847,30.993961
56,"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4']",0.4,0.6,38.028866,159.57991
57,"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS']",0.1,0.9,34.948284,211.4832
58,"['C=C(C)C(=O)OC', 'C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C']",0.6,0.4,22.28173,85.99428
59,"['C=C(C)C(=O)OC', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(C)=O']",0.1,0.9,18.973564,86.13733
60,"['C=C(C)C(=O)OC', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O']",0.1,0.9,23.243114,108.812744
61,"['C=C(C)C(=O)OC', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,23.564943,94.846344
62,"['C=C(C)C(=O)OC', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,25.323608,106.724884
63,"['C=C(C)C(=O)OC', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,28.991749,166.95752
64,"['C=C(C)C(=O)OC', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,31.806553,230.2025
65,"['C=C(C)C(=O)OC', 'C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)CC(C)(C)C1']",0.1,0.9,27.931,99.237625
66,"['C=C(C)C(=O)OC', 'C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O']",0.2,0.8,138.67383,108.39598
67,"['C=C(C)C(=O)OC', 'C=CC(=O)OCCCC']",0.6,0.4,13.155659,121.53561
68,"['C=C(C)C(=O)OC', 'C=CCOC(CC)(CO)CO']",0.6,0.4,12.072006,68.73633
69,"['C=C(C)C(=O)OC', 'C=CCOCC(CO)(COCC=C)COCC=C']",0.6,0.4,14.210096,58.52063
70,"['C=C(C)C(=O)OC', 'C=CCOCC(COCC=C)(COCC=C)COC(=O)NCC1(C)CC(NC(=O)OCC(COCC=C)(COCC=C)COCC=C)CC(C)(C)C1']",0.6,0.4,20.289083,63.335766
71,"['C=C(C)C(=O)OC', 'C=CCc1ccccc1OCC(O)COC(=O)CCCCC(=O)OCC(O)COc2ccccc2CC=C']",0.5,0.5,45.675713,74.05865
72,"['C=C(C)C(=O)OC', 'C=CCc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3']",0.4,0.6,99.00337,126.31464
73,"['C=C(C)C(=O)OC', 'C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O']",0.5,0.5,5.4215093,112.36341
74,"['C=C(C)C(=O)OC', 'C=COC(=O)CCCCCC(C)(C)C']",0.6,0.4,10.86096,117.25647
75,"['C=C(C)C(=O)OC', 'C=Cc1cccc(C=C)c1']",0.1,0.9,2.6423612,58.388546
76,"['C=C(C)C(=O)OC', 'CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O']",0.1,0.9,25.256763,123.79756
77,"['C=C(C)C(=O)OC', 'CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS']",0.3,0.7,38.087097,90.49822
78,"['C=C(C)C(=O)OC', 'CCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS']",0.5,0.5,46.273186,101.01521
79,"['C=C(C)C(=O)OC', 'O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4']",0.1,0.9,28.63715,187.14273
80,"['C=C(C)C(=O)OC', 'O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS']",0.1,0.9,42.204765,206.83069
81,['C=C(C)C(=O)OC'],0.1,0.9,102.884346,784.9252
82,"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=C(C)C(=O)OC']",0.6,0.4,46.88128,67.17052
83,"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=C(C)C(=O)OCCCC']",0.6,0.4,25.44255,47.791435
84,"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,18.063282,50.162663
85,"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(C)=O']",0.1,0.9,20.43382,104.34841
86,"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O']",0.1,0.9,24.398182,124.82341
87,"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,24.44085,106.40576
88,"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,26.38301,132.00471
89,"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,29.795902,184.18494
90,"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,32.44959,242.20763
91,"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)CC(C)(C)C1']",0.4,0.6,31.81502,69.290985
92,"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O']",0.6,0.4,138.64474,98.561676
93,"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=CC(=O)OCCCC']",0.6,0.4,36.072044,65.95898
94,"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O']",0.1,0.9,339.5126,246.74385
95,"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=CCOC(CC)(CO)CO']",0.6,0.4,106.59781,91.860405
96,"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=CCOCC(CO)(COCC=C)COCC=C']",0.6,0.4,13.923044,40.60868
97,"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=CCOCC(COCC=C)(COCC=C)COC(=O)NCC1(C)CC(NC(=O)OCC(COCC=C)(COCC=C)COCC=C)CC(C)(C)C1']",0.1,0.9,18.732605,58.79819
98,"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=CCc1ccccc1OCC(O)COC(=O)CCCCC(=O)OCC(O)COc2ccccc2CC=C']",0.1,0.9,24.398993,57.80837
99,"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=CCc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3']",0.3,0.7,87.5992,125.99647
100,"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O']",0.6,0.4,36.563793,54.936054
101,"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=COC(=O)CCCCCC(C)(C)C']",0.6,0.4,48.942104,30.853762
102,"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'C=Cc1cccc(C=C)c1']",0.6,0.4,53.370785,106.47073
103,"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O']",0.1,0.9,26.571678,143.33665
104,"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS']",0.5,0.5,60.092003,85.039764
105,"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'CCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS']",0.6,0.4,21.2218,54.750015
106,"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4']",0.3,0.7,31.32679,178.52423
107,"['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2', 'O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS']",0.1,0.9,31.558722,190.06659
108,['C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2'],0.1,0.9,113.2819,784.4523
109,"['C=C(C)C(=O)OCCCC', 'C=C(C)C(=O)OC']",0.5,0.5,5.1938634,113.231926
110,"['C=C(C)C(=O)OCCCC', 'C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,16.26421,35.741653
111,"['C=C(C)C(=O)OCCCC', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(C)=O']",0.1,0.9,19.523085,87.40956
112,"['C=C(C)C(=O)OCCCC', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O']",0.1,0.9,23.903782,115.22643
113,"['C=C(C)C(=O)OCCCC', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,24.29325,100.66534
114,"['C=C(C)C(=O)OCCCC', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,26.17243,113.78598
115,"['C=C(C)C(=O)OCCCC', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,29.745464,168.77751
116,"['C=C(C)C(=O)OCCCC', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,32.02907,232.45663
117,"['C=C(C)C(=O)OCCCC', 'C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)CC(C)(C)C1']",0.1,0.9,27.696615,99.766075
118,"['C=C(C)C(=O)OCCCC', 'C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O']",0.2,0.8,138.59392,109.31816
119,"['C=C(C)C(=O)OCCCC', 'C=CC(=O)OCCCC']",0.5,0.5,3.3594253,68.88829
120,"['C=C(C)C(=O)OCCCC', 'C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O']",0.1,0.9,287.9888,228.1062
121,"['C=C(C)C(=O)OCCCC', 'C=CCOC(CC)(CO)CO']",0.6,0.4,12.768378,45.710274
122,"['C=C(C)C(=O)OCCCC', 'C=CCOCC(CO)(COCC=C)COCC=C']",0.1,0.9,4.5651145,26.778011
123,"['C=C(C)C(=O)OCCCC', 'C=CCOCC(COCC=C)(COCC=C)COC(=O)NCC1(C)CC(NC(=O)OCC(COCC=C)(COCC=C)COCC=C)CC(C)(C)C1']",0.1,0.9,18.190987,56.66945
124,"['C=C(C)C(=O)OCCCC', 'C=CCc1ccccc1OCC(O)COC(=O)CCCCC(=O)OCC(O)COc2ccccc2CC=C']",0.1,0.9,24.704182,58.493614
125,"['C=C(C)C(=O)OCCCC', 'C=CCc1ccccc1OCC(O)COC(=O)Cc3ccc(C(=O)OCC(O)COc2ccccc2CC=C)cc3']",0.1,0.9,84.59222,132.22044
126,"['C=C(C)C(=O)OCCCC', 'C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O']",0.5,0.5,7.721065,58.93244
127,"['C=C(C)C(=O)OCCCC', 'C=COC(=O)CCCCCC(C)(C)C']",0.1,0.9,4.088591,98.42822
128,"['C=C(C)C(=O)OCCCC', 'C=Cc1cccc(C=C)c1']",0.1,0.9,2.696407,56.754887
129,"['C=C(C)C(=O)OCCCC', 'CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(C)=O']",0.1,0.9,26.44915,131.52104
130,"['C=C(C)C(=O)OCCCC', 'CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O']",0.1,0.9,26.44915,131.52104
131,"['C=C(C)C(=O)OCCCC', 'CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS']",0.2,0.8,18.08675,44.454365
132,"['C=C(C)C(=O)OCCCC', 'CCCC(=O)OCC(CC)(COC(=O)CCS)COC(=O)CCS']",0.1,0.9,12.820538,29.117855
133,"['C=C(C)C(=O)OCCCC', 'O=c1ccc(=O)n1c4ccc(Cc3ccc(n2c(=O)ccc2=O)cc3)cc4']",0.1,0.9,28.926153,187.32475
134,"['C=C(C)C(=O)OCCCC', 'O=c1n(CCS)c(=O)n(CCS)c(=O)n1CCS']",0.1,0.9,41.37954,223.39005
135,"['C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(C)=O']",0.1,0.9,21.795773,106.69539
136,"['C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C', 'C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)CC(C)(C)C1']",0.3,0.7,29.402023,76.02776
137,"['C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C', 'C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O']",0.2,0.8,112.11389,79.53531
138,"['C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C', 'C=Cc1cccc(C=C)c1']",0.5,0.5,4.6955013,31.942514
139,"['C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C', 'CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS']",0.2,0.8,17.653992,37.780483
